row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.user_name,,,,,,,,,,,,,,,e0b9a0c9-c0a3-4b6b-9b70-817e248c0e10,,split_by_expression,125;
2,send_message,1,,@fields.user_name,has_text,user_name,,Hello @fields.user_name! Did you know that 3 is a magical number? Breathe in to the count of three and breathe out to the count of three. How do you feel now? Do you feel any different? ,,,,,,,,,,,,,,,1cd44f29-1b8f-4f6c-a402-d5fd0dee5a2f,,execute_actions,;200
3,send_message,1,,,,,,Hello! Did you know that 3 is a magical number? Breathe in to the count of three and breathe out to the count of three. How do you feel now? Do you feel any different? ,,,,,,,,,,,,,,,b39759e5-caa2-4f46-a760-2224bb455a50,,execute_actions,250;200
4,send_message,2;3,,,,,,What are your three favourite foods? Can you name three things you can see right now? Can you hear three sounds you can hear right now? What are three things you are grateful for right now? ,,,,,,,,,,,,,,,a1f948ea-2972-4e5e-b409-a42745c73035,,execute_actions,530;300
5,send_message,4,,,,,,Breathe in to the count of three and breathe out to the count of three? How do you feel now? Do you feel any different? Three is a magical number!,,,,,,,,,,,,,,,463d2e24-b000-4e36-a551-96d558a48776,,execute_actions,550;560
