row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
86,send_message,85,,@fields.child_nickname,has_text,child_nickname,,"Well done for Taking a Pause. You have added another skill to your Parenting Toolkit! Over the next few days, try taking a pause whenever you are feeling stressed. It gives you a chance to be calmer. Even a few deep breaths or connecting with the ground beneath you can make a difference. You can also Take a Pause with @fields.child_nickname!",,,,,,,,,,,"@(fields.house_of_support_path & ""house_"" & fields.n_skills & "".jpg",,,,03695b31-5e18-49bf-82fd-0abcc3b8eccd,,execute_actions,3420;11600
87,send_message,85,,,,,,"Well done for Taking a Pause. You have added another skill to your Parenting Toolkit! Over the next few days, try taking a pause whenever you are feeling stressed. It gives you a chance to be calmer. Even a few deep breaths or connecting with the ground beneath you can make a difference. You can also Take a Pause with your Child!",,,,,,,,,,,"@(fields.house_of_support_path & ""house_"" & fields.n_skills & "".jpg",,,,23bb62e9-cdec-4853-a389-f5fe4c290b75,,execute_actions,3670;11600
88,split_by_group,72;72,ABTest_test-gamification_Default;,,,,,ABTest_test-gamification_Default,,,,,,,,,,,,,,2f20c6e6-ec2b-443e-9768-65642f643034,16d59573-9547-4500-a014-526a239c0c19,,split_by_expression,1795;8800
89,split_by_value,88,ABTest_test-gamification_alternative,,,,,@fields.user_name,,,,,,,,,,,,,,,42c88f28-a127-4d9a-ae73-adbbbec3fb6c,,split_by_expression,2295;9400
90,split_by_value,89,,@fields.user_name,has_text,user_name,,@fields.child_nickname,,,,,,,,,,,,,,,4d57389a-2604-42b6-9de4-58b141239c22,,split_by_expression,2045;10400
91,send_message,90,,@fields.child_nickname,has_text,child_nickname,,"Well done for Taking a Pause @fields.user_name! You have added your second layer to your House of Support! Over the next few days, try taking a pause whenever you are feeling stressed. It gives you a chance to be calmer. Even a few deep breaths or connecting with the ground beneath you can make a difference. You can also Take a Pause with @fields.child_nickname!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/congratulation.jpg,,,,a580b5df-5b55-46f4-b08c-e24441b4dad2,,execute_actions,1920;11600
92,send_message,90,,,,,,"Well done for Taking a Pause @fields.user_name! You have added your second layer to your House of Support! Over the next few days, try taking a pause whenever you are feeling stressed. It gives you a chance to be calmer. Even a few deep breaths or connecting with the ground beneath you can make a difference. You can also Take a Pause with your Child!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/congratulation.jpg,,,,f5736584-2dd7-4709-b490-c406a6261ace,,execute_actions,2170;11600
93,split_by_value,89,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,2c7ac5b5-3d7c-456d-ab46-bb3e5a3fc05c,,split_by_expression,2545;10600
94,send_message,93,,@fields.child_nickname,has_text,child_nickname,,"Well done for Taking a Pause. You have added your second layer to your House of Support! Over the next few days, try taking a pause whenever you are feeling stressed. It gives you a chance to be calmer. Even a few deep breaths or connecting with the ground beneath you can make a difference. You can also Take a Pause with @fields.child_nickname!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/congratulation.jpg,,,,10bc47d6-c74a-4245-8602-bd3d489debed,,execute_actions,2420;11600
95,send_message,93,,,,,,"Well done for Taking a Pause. You have added your second layer to your House of Support! Over the next few days, try taking a pause whenever you are feeling stressed. It gives you a chance to be calmer. Even a few deep breaths or connecting with the ground beneath you can make a difference. You can also Take a Pause with your Child!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/congratulation.jpg,,,,64c5929b-5fb2-47dc-ad4c-03c8a0942a57,,execute_actions,2670;11600
